catalog_key,catalog,dra_median,dra_mad,ddec_median,ddec_mad,pmra_median,pmra_mad,pmdec_median,pmdec_mad,n_tiles,source_file
gaiadr1,Gaia DR1,-23.6585,34.707499999999996,-56.233,23.2595,1.57,2.31,3.74,1.5499999999999998,49152,/data/sues01/catalog/result/j2000/bias_gaiadr1_j2000.csv
ucac4,UCAC4,0.9755,11.028500000000001,-3.043,9.5985,0.11,0.84,0.37,0.9400000000000001,49152,/data/sues01/catalog/result/j2000/bias_ucac4_j2000.csv
ucac2,UCAC2,-0.816,10.346,2.815,9.179,-0.29,1.31,-0.57,1.25,43159,/data/sues01/catalog/result/j2000/bias_ucac2_j2000.csv
tycho2,Tycho-2,-0.4035,9.977,-1.1055000000000001,9.7225,-0.07,0.81,-0.25,0.81,49152,/data/sues01/catalog/result/j2000/bias_tycho2_j2000.csv
hipparcos,Hipparcos,0.706,6.577,0.137,5.616,0.09,0.72,0.01,0.61,46010,/data/sues01/catalog/result/j2000/bias_hipparcos_j2000.csv
act,ACT,-0.387,11.568,0.159,10.786000000000001,-0.08,1.03,0.01,0.97,49149,/data/sues01/catalog/result/j2000/bias_act_j2000.csv
acrs,ACRS,-39.313,136.91899999999998,-48.53,128.089,-0.9,2.86,-0.07,2.56,48835,/data/sues01/catalog/result/j2000/bias_acrs_j2000.csv
ppm,PPM,12.743,128.382,-67.725,127.124,-0.23,2.71,-0.45,2.77,49037,/data/sues01/catalog/result/j2000/bias_ppm_j2000.csv
sao,SAO,-5.763,270.611,-19.416,266.9425,0.62,3.7299999999999995,-0.07,3.6300000000000003,38980,/data/sues01/catalog/result/j2000/bias_sao_j2000.csv
agk3,AGK3,-128.175,257.581,-44.865,301.439,-1.82,4.67,-0.58,5.37,25741,/data/sues01/catalog/result/j2000/bias_agk3_j2000.csv
gsc1.2,GSC 1.2,28.235500000000002,113.164,-13.5435,104.3735,1.03,2.89,4.0,1.5199999999999996,49152,/data/sues01/catalog/result/j2000/bias_gsc1.2_j2000.csv
fk4catalogue,FK4 Catalogue,-73.107,157.6875,-46.71799999999999,200.67899999999997,-0.885,2.3200000000000003,-0.275,3.03,1346,/data/sues01/catalog/result/j2000/bias_fk4catalogue_j2000.csv
usno_a2,USNO-A2.0,68.597,107.55999999999999,156.8135,124.5595,1.36,1.9199999999999997,3.31,1.32,49152,/data/sues01/catalog/result/j2000/bias_usno_a2_j2000.csv
yale,Yale,19.29150000000002,410.07950000000005,-139.856,439.68949999999995,0.58,5.7,-0.63,5.74,36958,/data/sues01/catalog/result/j2000/bias_yale_j2000.csv
